timestamp,source_layer,target_layer,method
2026-06-16,SOLAR PV-NOTES,G-ANNO-TEXT,static
2026-06-16,A-ROOF OBSTRUCTIONS,A-BLDG,static
2026-06-16,C-PLANTER,S-SITE,static
2026-06-16,A-BUILDING OUTLINE (N),A-BLDG,static
2026-06-16,S-COLUMN,S-CARPORT,static
2026-06-16,E-NOTES,G-ANNO-TEXT,static
2026-06-16,C-PARKING LINES,S-SITE,static
2026-06-16,G-TEXT,G-ANNO-TEXT,static
2026-06-16,A-BUILDING OUTLINE SECONDARY,A-BLDG,static
2026-06-16,EV-EV CHARGER  L2,EV-EQUIP,static
2026-06-16,EV-EV CHARGER  L3,EV-EQUIP,static
2026-06-16,S-FOUNDATION,S-PAD,static
2026-06-16,S-ROOF RAFTER 3,S-ROOF,static
2026-06-16,S-ROOF RAFTER 2,S-ROOF,static
2026-06-16,A-DIMENSIONS,G-ANNO-DIMS,static
2026-06-16,S-ROOF RAFTER 1,S-ROOF,static
2026-06-16,A-GROUND,S-SITE,static
2026-06-16,E_Module,PV-MODS,static
2026-06-16,E-PV-DIMENSIONS,G-ANNO-DIMS,static
2026-06-16,TEXT,G-ANNO-TEXT,static
2026-06-16,Dim,G-ANNO-DIMS,static
2026-06-16,E_Unistrut,S-DETL,static
2026-06-16,E-STRING-LABELS,E-STRING,static
2026-06-16,E-ANNO-DIMENSIONS,G-ANNO-DIMS,static
2026-06-16,G-ANNO-VIEWPORT,G-VPORT,static
2026-06-16,G-ANNO-DEFPOINTS,Defpoints,static
2026-06-16,A-BLD OUTLINE,A-BLDG,static
2026-06-16,A-PVMT-MRKG,S-SITE,static
2026-06-16,E-PV-EQUIPMENT NEW,E-EQUIP,static
2026-06-16,E-PV-EQUIPMENT EXISTING,E-EQUIP,static
2026-06-16,A-DOOR,A-BLDG,static
2026-06-16,E-PV-STAMP,G-ANNO-STAMP,static
2026-06-16,1,0,static
2026-06-16,E-PV-SINGLE LINE DIAGRAM,E-SLD,static
2026-06-16,E-SINGLE LINE,E-SLD,static
2026-06-16,E_Single Line,E-SLD,static
2026-06-16,E-PV-SINGLE LINE,E-SLD,static
2026-06-16,E-PV-WORKING CLEARANCE,E-CLEARANCE,static
2026-06-16,unistrut,S-DETL,static
2026-06-16,G_VIEWPORT,G-VPORT,static
2026-06-16,E-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-16,A_TEXT,G-ANNO-TEXT,static
2026-06-16,A_Property Line,A-PROP,static
2026-06-16,A_street axis,S-SITE,static
2026-06-16,A_Building,A-BLDG,static
2026-06-16,A_Bld Outline,A-BLDG,static
2026-06-16,A_Door,A-BLDG,static
2026-06-16,Fence,S-SITE,static
2026-06-16,V-PVMT-ROAD,S-SITE,static
2026-06-16,V-PVMT-MRKG,S-SITE,static
2026-06-16,S_Canopy border,S-CARPORT,static
2026-06-16,E_Equipment Existing,E-EQUIP,static
2026-06-16,S-BEAMS,S-CARPORT,static
2026-06-16,E-EQUIPMENT-N,E-EQUIP,static
2026-06-16,E-PV-CLEARANCE,E-CLEARANCE,static
2026-06-16,S_Columns,S-CARPORT,static
2026-06-16,S_Structure Metal,S-CARPORT,static
2026-06-16,E-PV-EQUIPMENT,E-EQUIP,static
2026-06-16,Text Simplex,G-ANNO-TEXT,static
2026-06-16,Viewport,G-VPORT,static
2026-06-16,E_Dimensions,G-ANNO-DIMS,static
2026-06-16,A_Dimensions,G-ANNO-DIMS,static
2026-06-16,G_Text New,G-ANNO-TEXT,static
2026-06-16,A-PROPERTY LINE,A-PROP,static
2026-06-16,S-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-16,E-EQUIPMENT NEW,E-EQUIP,static
2026-06-16,E-WORKING CLEARANCE,E-CLEARANCE,static
2026-06-16,E_Clearance,E-CLEARANCE,static
2026-06-16,TEXT WHITE,G-ANNO-TEXT,static
2026-06-16,G_LAYOUT_TEXT,G-ANNO-STAMP,static
2026-06-16,L-PROP-LINE,A-PROP,static
2026-06-16,6,0,static
2026-06-16,8,0,static
2026-06-16,E-PV-DETAILS,E-DETL,static
2026-06-16,E_Details,E-DETL,static
2026-06-16,G_Text,G-ANNO-TEXT,static
2026-06-16,A-BUILDING,A-BLDG,static
2026-06-16,E_Text,G-ANNO-TEXT,static
2026-06-16,S_Details,S-DETL,static
2026-06-16,S_(E) Purilins SEC,S-ROOF,static
2026-06-16,S_Mount,PV-RACK,static
2026-06-16,E-PV-COLUMNS CARPORT,S-CARPORT,static
2026-06-16,S-COLS,S-CARPORT,static
2026-06-16,E-PV-MODULE,PV-MODS,static
2026-06-16,G_Defpoints,Defpoints,static
2026-06-16,S_Rail,PV-RACK,static
2026-06-16,IR_MOD,PV-MODS,static
2026-06-16,E-STRINGING,E-STRING,static
2026-06-16,PDF_S-CONN,S-DETL,static
2026-06-16,PDF_S-TS,S-DETL,static
2026-06-16,PDF_S-DIM,G-ANNO-DIMS,static
2026-06-16,PDF_S-LGS,S-DETL,static
2026-06-16,PDF_S-STL,S-DETL,static
2026-06-16,PDF_S-EX,S-DETL,static
2026-06-16,E_Equiment New,E-EQUIP,static
2026-06-16,E_Equipment New,E-EQUIP,static
2026-06-16,structure,S-CARPORT,static
2026-06-16,Hatch,G-HATCH,static
2026-06-16,Bld Outline,A-BLDG,static
2026-06-16,S-BEAM,S-CARPORT,static
2026-06-16,S-BEAM-HDLN,S-CARPORT,static
2026-06-16,E-PV MODULES,PV-MODS,static
2026-06-16,E_Conduit run,E-CONDUIT,static
2026-06-16,E_Stringing,E-STRING,static
2026-06-16,G_Drawing Line,Purge,static
2026-06-16,9,0,static
2026-06-16,A_Symbols,G-ANNO-TEXT,static
2026-06-16,Truss,S-CARPORT,static
2026-06-16,racking,PV-RACK,static
2026-06-16,PROPERTY_LINES,A-PROP,static
2026-06-16,OBSTRUCTIONS,A-ROOF-EQUIP,static
2026-06-16,SETBACKS,A-SETB,static
2026-06-16,MODULES,PV-MODS,static
2026-06-16,BUILDINGS,A-BLDG,static
2026-06-16,ARRAY LABEL,G-ANNO-TEXT,static
2026-06-16,PDF2_Geometry,S-CARPORT,static
2026-06-16,PDF2_Solid Fills,G-HATCH,static
2026-06-16,PDF2_Text,G-ANNO-TEXT,static
2026-06-16,PDF3_Layer 1_5,S-CARPORT,static
2026-06-16,PDF4_Geometry,PV-RACK,static
2026-06-16,PDF4_Solid Fills,S-CARPORT,static
2026-06-16,A-SIDE ROADS,S-SITE,static
2026-06-16,E-PV-COND,E-CONDUIT-AC,static
2026-06-16,E-CONDUIT,E-CONDUIT-AC,hard
2026-06-16,A-STREET,S-SITE,hard
2026-06-16,G-TEXT,G-ANNO-TEXT,static
2026-06-16,E-PV-DIMENSIONS,G-ANNO-DIMS,static
2026-06-16,E_Unistrut,S-DETL,static
2026-06-16,E-PV-EQUIPMENT NEW,E-EQUIP,static
2026-06-16,E-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-16,A_Door,A-BLDG,static
2026-06-16,S_Columns,S-CARPORT,static
2026-06-16,S_Structure Metal,S-CARPORT,static
2026-06-16,Viewport,G-VPORT,static
2026-06-16,G_Text New,G-ANNO-TEXT,static
2026-06-16,G_Text,G-ANNO-TEXT,static
2026-06-16,S_Mount,PV-RACK,static
2026-06-16,G_Defpoints,Defpoints,static
2026-06-16,E-STRINGING,E-STRING,static
2026-06-16,OBSTRUCTIONS,A-ROOF-EQUIP,static
2026-06-16,MODULES,PV-MODS,static
2026-06-16,BUILDINGS,A-BLDG,static
2026-06-16,PDF3_Layer 1_5,S-CARPORT,static
2026-06-16,SOLAR PV-NOTES,G-ANNO-TEXT,static
2026-06-16,E-CONDUIT,E-CONDUIT-AC,static
