keyword,target_layer,date_added
equipment,E-EQUIP,2026-06-16
equip,E-EQUIP,2026-06-16
inverter,E-EQUIP,2026-06-16
disconnect,E-EQUIP,2026-06-16
meter,E-EQUIP,2026-06-16
combiner,E-EQUIP,2026-06-16
transformer,E-EQUIP,2026-06-16
panel,E-EQUIP,2026-06-16
conduit,E-CONDUIT-AC,2026-06-16
underground,E-CONDUIT-AC,2026-06-16
clearance,E-CLEARANCE,2026-06-16
detail,E-DETL,2026-06-16
string,E-STRINGS,2026-06-16
stringing,E-STRINGS,2026-06-16
labels,G-LABELS,2026-06-17
sld,E-SLD,2026-06-16
single line,E-SLD,2026-06-16
diagram,E-SLD,2026-06-16
module,PV-MODS,2026-06-16
modules,PV-MODS,2026-06-16
mod,PV-MODS,2026-06-16
rack,PV-RACK,2026-06-16
racking,PV-RACK,2026-06-16
mount,PV-RACK,2026-06-16
rail,PV-RACK,2026-06-16
unistrut,PV-RACK,2026-06-16
building,A-BLDG,2026-06-16
bldg,A-BLDG,2026-06-16
outline,A-BLDG,2026-06-16
wall,A-BLDG,2026-06-16
door,A-BLDG,2026-06-16
fire,A-FIRE,2026-06-16
property,A-PROP,2026-06-16
parcel,A-PROP,2026-06-16
prop,A-PROP,2026-06-16
setback,A-SETB,2026-06-16
obstruction,A-ROOF-EQUIP,2026-06-16
roof,S-ROOF,2026-06-16
rafter,S-ROOF,2026-06-16
purlin,S-ROOF,2026-06-16
framing,S-ROOF,2026-06-16
carport,S-CARPORT,2026-06-16
canopy,S-CARPORT,2026-06-16
column,S-CARPORT,2026-06-16
beam,S-CARPORT,2026-06-16
truss,S-CARPORT,2026-06-16
structure,S-CARPORT,2026-06-16
foundation,S-PAD,2026-06-16
pad,S-PAD,2026-06-16
ground,S-SITE,2026-06-16
pavement,S-SITE,2026-06-16
parking,S-SITE,2026-06-16
curb,S-SITE,2026-06-16
planter,S-SITE,2026-06-16
fence,S-SITE,2026-06-16
road,S-SITE,2026-06-16
street,S-SITE,2026-06-16
structural detail,S-DETL,2026-06-16
text,G-ANNO-TEXT,2026-06-16
note,G-ANNO-TEXT,2026-06-16
label,G-ANNO-TEXT,2026-06-16
dimension,G-ANNO-DIMS,2026-06-16
dim,G-ANNO-DIMS,2026-06-16
title,G-ANNO-TTLB,2026-06-16
titleblock,G-ANNO-TTLB,2026-06-16
stamp,G-ANNO-STAMP,2026-06-16
rev,G-ANNO-REVS,2026-06-16
revision,G-ANNO-REVS,2026-06-16
legend,G-ANNO-LGND,2026-06-16
viewport,G-VPORT,2026-06-16
vport,G-VPORT,2026-06-16
hatch,G-HATCH,2026-06-16
image,G-REFS,2026-06-16
img,G-REFS,2026-06-16
charger,EV-EQUIP,2026-06-16
ev,EV-EQUIP,2026-06-16
roads,S-SITE,2026-06-16
cond,E-CONDUIT-AC,2026-06-16
purlins,S-ROOF,2026-06-16
purlin,S-ROOF,2026-06-16
titleblock,G-ANNO-TTLB,2026-06-16
ttlb,G-ANNO-TTLB,2026-06-16
