source_layer,target_layer,date_added
0,0,2026-06-16
1,0,2026-06-16
6,0,2026-06-16
8,0,2026-06-16
A-BLD OUTLINE,A-BLDG,2026-06-16
A-BUILDING,A-BLDG,2026-06-16
A-BUILDING OUTLINE (E),A-BLDG,2026-06-16
A-BUILDING OUTLINE (N),A-BLDG,2026-06-16
A-BUILDING OUTLINE SECONDARY,A-BLDG,2026-06-16
A-DOOR,A-BLDG,2026-06-16
A-ROOF OBSTRUCTIONS,A-ROOF-EQUIP,2026-06-18
A_Bld Outline,A-BLDG,2026-06-16
A_Building,A-BLDG,2026-06-16
A_Door,A-BLDG,2026-06-16
Bld Outline,A-BLDG,2026-06-16
BUILDINGS,A-BLDG,2026-06-16
A_Fire access,A-FIRE,2026-06-16
A-PROPERTY LINE,A-PROP,2026-06-16
A_Property Line,A-PROP,2026-06-16
C-PARCEL LINE - PROP...,A-PROP,2026-06-16
L-PROP-LINE,A-PROP,2026-06-16
PROPERTY_LINES,A-PROP,2026-06-16
A_Roof lines,A-ROOF,2026-06-16
A_Obstructions,A-ROOF-EQUIP,2026-06-16
A-FIRE SETBACK,A-SETB,2026-06-16
SETBACKS,A-SETB,2026-06-16
A_Wall,A-WALL,2026-06-16
Defpoints,Defpoints,2026-06-16
G-ANNO-DEFPOINTS,Defpoints,2026-06-16
G_Defpoints,Defpoints,2026-06-16
E-CLEARANCE,E-CLEARANCE,2026-06-16
E-PV-CLEARANCE,E-CLEARANCE,2026-06-16
E-PV-WORKING CLEAR...,E-CLEARANCE,2026-06-16
E-WORKING CLEARAN...,E-CLEARANCE,2026-06-16
E_Clearance,E-CLEARANCE,2026-06-16
E-CONDUIT RUN,E-CONDUIT-AC,2026-06-16
E-PV-CONDUIT,E-CONDUIT-AC,2026-06-16
E-UNDERGROUND CO...,E-CONDUIT-AC,2026-06-16
E_Conduit run,E-CONDUIT-AC,2026-06-16
E-DETAILS,E-DETL,2026-06-16
E-PV-DETAILS,E-DETL,2026-06-16
E_Details,E-DETL,2026-06-16
E-EQUIPMENT,E-EQUIP,2026-06-16
E-EQUIPMENT NEW,E-EQUIP,2026-06-16
E-EQUIPMENT-N,E-EQUIP,2026-06-16
E-PV-EQUIPMENT,E-EQUIP,2026-06-16
E-PV-EQUIPMENT EXIS...,E-EQUIP,2026-06-16
E-PV-EQUIPMENT NEW,E-EQUIP,2026-06-16
E_Equiment New,E-EQUIP,2026-06-16
E_Equipment Existing,E-EQUIP,2026-06-16
E_Equipment New,E-EQUIP,2026-06-16
E-EQUIPMENT-NEW,E-EQUIP,2026-06-16
E-PV-EQUIPMENT-NEW,E-EQUIP,2026-06-16
E-PV-EQUIPMENT-EXISTING,E-EQUIP,2026-06-16
PV-EQUIPMENT,E-EQUIP,2026-06-16
PV-EQUIPMENT-NEW,E-EQUIP,2026-06-16
PV-EQUIPMENT-EXISTING,E-EQUIP,2026-06-16
9,E-SLD,2026-06-16
E-PV-SINGLE LINE,E-SLD,2026-06-16
E-PV-SINGLE LINE DIA...,E-SLD,2026-06-16
E-SINGLE LINE,E-SLD,2026-06-16
E-SLD,E-SLD,2026-06-16
E_Single Line,E-SLD,2026-06-16
E-STRINGING,E-STRINGS,2026-06-16
E_Stringing,E-STRINGS,2026-06-16
SOLAR PV-STRINGING,E-STRINGS,2026-06-16
EV-EV CHARGER L2,EV-EQUIP,2026-06-16
EV-EV CHARGER L3,EV-EQUIP,2026-06-16
EV-EV CHARGER EQUIPMENT,EV-EQUIP,2026-06-16
A-DIMENSIONS,G-ANNO-DIMS,2026-06-16
A_Dimensions,G-ANNO-DIMS,2026-06-16
Dim,G-ANNO-DIMS,2026-06-16
E-ANNO-DIMENSIONS,G-ANNO-DIMS,2026-06-16
E-DIMENSIONS,G-ANNO-DIMS,2026-06-16
E-PV-DIMENSIONS,G-ANNO-DIMS,2026-06-16
E_Dimensions,G-ANNO-DIMS,2026-06-16
PDF_S-DIM,G-ANNO-DIMS,2026-06-16
E_LEGEND,G-ANNO-LGND,2026-06-16
E-REV,G-ANNO-REVS,2026-06-16
E-PV-STAMP,G-ANNO-STAMP,2026-06-16
E-STAMP,G-ANNO-STAMP,2026-06-16
G_LAYOUT_TEXT,G-ANNO-STAMP,2026-06-16
A_Symbols,G-ANNO-TEXT,2026-06-16
A_TEXT,G-ANNO-TEXT,2026-06-16
ARRAY LABEL,G-ARRAY-NUMS,2026-06-18
E-ANNO-TEXT,G-ANNO-TEXT,2026-06-16
E-NOTES,G-ANNO-TEXT,2026-06-16
E_Text,G-ANNO-TEXT,2026-06-16
G-ANNO-TEXT,G-ANNO-TEXT,2026-06-16
G-TEXT,G-ANNO-TEXT,2026-06-16
G_LAYOUT_TEXT,G-ANNO-TEXT,2026-06-16
G_Text,G-ANNO-TEXT,2026-06-16
G_Text New,G-ANNO-TEXT,2026-06-16
G-ANNO-LABELS,G-LABELS,2026-06-17
PDF2_Text,G-ANNO-TEXT,2026-06-16
PDF4_Text,G-ANNO-TEXT,2026-06-16
S-ANNO-TEXT,G-ANNO-TEXT,2026-06-16
SOLAR PV-NOTES,G-ANNO-TEXT,2026-06-16
TEXT,G-ANNO-TEXT,2026-06-16
Text Simplex,G-ANNO-TEXT,2026-06-16
TEXT WHITE,G-ANNO-TEXT,2026-06-16
PDF2_Solid Fills,G-HATCH,2026-06-16
Hatch,G-HATCH,2026-06-16
PDF_S-HAT,G-HATCH,2026-06-16
IMG,G-REFS,2026-06-16
G-ANNO-VIEWPORT,G-VPORT,2026-06-16
G-VIEWPORT,G-VPORT,2026-06-16
G_VIEWPORT,G-VPORT,2026-06-16
Viewport,G-VPORT,2026-06-16
G_Drawing Line,Purge,2026-06-16
G_White,Purge,2026-06-16
E-PV MODULES,PV-MODS,2026-06-16
E-PV-MODULE,PV-MODS,2026-06-16
E_Module,PV-MODS,2026-06-16
IR_MOD,PV-MODS,2026-06-16
MODULES,PV-MODS,2026-06-16
SOLAR PV-MODULES LAYOUT,PV-MODS,2026-06-16
PDF4_Geometry,PV-RACK,2026-06-16
racking,PV-RACK,2026-06-16
S_Mount,PV-RACK,2026-06-16
S_Rail,PV-RACK,2026-06-16
SOLAR PV-RACKING,PV-RACK,2026-06-16
E-CARPORT,S-CARPORT,2026-06-16
E-PV-COLUMNS CARP...,S-CARPORT,2026-06-16
PDF2_Geometry,S-CARPORT,2026-06-16
PDF3_Layer 1_5,S-CARPORT,2026-06-16
PDF4_Solid Fills,S-CARPORT,2026-06-16
S-BEAM,S-CARPORT,2026-06-16
S-BEAM-HDLN,S-CARPORT,2026-06-16
S-BEAMS,S-CARPORT,2026-06-16
S-COLS,S-CARPORT,2026-06-16
S-COLUMN,S-CARPORT,2026-06-16
S_Canopy border,S-CARPORT,2026-06-16
S_Columns,S-CARPORT,2026-06-16
S_Structure Metal,S-CARPORT,2026-06-16
structure,S-CARPORT,2026-06-16
Truss,S-CARPORT,2026-06-16
E_Unistrut,S-DETL,2026-06-16
PDF_S-CONN,S-DETL,2026-06-16
PDF_S-EX,S-DETL,2026-06-16
PDF_S-LGS,S-DETL,2026-06-16
PDF_S-STL,S-DETL,2026-06-16
PDF_S-TS,S-DETL,2026-06-16
S-DETAILS,S-DETL,2026-06-16
S_Details,S-DETL,2026-06-16
unistrut,S-DETL,2026-06-16
S-FOUNDATION,S-PAD,2026-06-16
S-PAD,S-PAD,2026-06-16
S-ROOF FRAMING (E),S-ROOF,2026-06-16
S-ROOF RAFTER 1,S-ROOF,2026-06-16
S-ROOF RAFTER 2,S-ROOF,2026-06-16
S-ROOF RAFTER 3,S-ROOF,2026-06-16
S_(E) Purlins SEC,S-ROOF,2026-06-16
A-GROUND,S-SITE,2026-06-16
A-PVMT-MRKG,S-SITE,2026-06-16
A-STREET AXIS,S-SITE,2026-06-16
A_street axis,S-SITE,2026-06-16
C-CURB-GUTTER-WIDE...,S-SITE,2026-06-16
C-PARKING LINES,S-SITE,2026-06-16
C-PLANTER,S-SITE,2026-06-16
Fence,S-SITE,2026-06-16
OBSTRUCTIONS,A-ROOF-EQUIP,2026-06-18
V-PVMT-MRKG,S-SITE,2026-06-16
V-PVMT-ROAD,S-SITE,2026-06-16
156,32,2026-06-16
A-BLDG,A-BLDG,2026-06-16
A-FIRE,A-FIRE,2026-06-16
A-PROP,A-PROP,2026-06-16
A-SETB,A-SETB,2026-06-16
A-ROOF,A-ROOF,2026-06-16
A-ROOF-EQUIP,A-ROOF-EQUIP,2026-06-16
A-WALL,S-SITE,2026-06-17
G-ANNO-DIMS,G-ANNO-DIMS,2026-06-16
G-ANNO-TTLB,G-ANNO-TTLB,2026-06-16
G-ANNO-STAMP,G-ANNO-STAMP,2026-06-16
G-ANNO-REVS,G-ANNO-REVS,2026-06-16
G-ANNO-LGND,G-ANNO-LGND,2026-06-16
G-VPORT,G-VPORT,2026-06-16
G-HATCH,G-HATCH,2026-06-16
G-BKGD,G-BKGD,2026-06-16
G-REFS,G-REFS,2026-06-16
G-LOGO,G-LOGO,2026-06-16
E-EQUIP,E-EQUIP,2026-06-16
E-CONDUIT-AC,E-CONDUIT-AC,2026-06-16
E-CONDUIT-DC,E-CONDUIT-DC,2026-06-16
E-DETL,E-DETL,2026-06-16
E-STRING,E-STRINGS,2026-06-16
EV-EQUIP,EV-EQUIP,2026-06-16
PV-MODS,PV-MODS,2026-06-16
PV-RACK,PV-RACK,2026-06-16
S-BLDG,S-BLDG,2026-06-16
S-ROOF,S-ROOF,2026-06-16
S-CARPORT,S-CARPORT,2026-06-16
S-DETL,S-DETL,2026-06-16
S-SITE,S-SITE,2026-06-16
S_(E) Purilins SEC,S-ROOF,2026-06-16
A-SIDE ROADS,S-SITE,2026-06-16
C-CURB-GUTTER-WIDEWALK,S-SITE,2026-06-16
C-PARCEL LINE - PROPERTY LINE,A-PROP,2026-06-16
E-PV-COLUMNS CARPORT,S-CARPORT,2026-06-16
E-PV-COND,E-CONDUIT-AC,2026-06-16
E-PV-EQUIPMENT EXISTING,E-EQUIP,2026-06-16
E-PV-SINGLE LINE DIAGRAM,E-SLD,2026-06-16
E-PV-WORKING CLEARANCE,E-CLEARANCE,2026-06-16
