layer,color,linetype,lineweight,plot,vpfreeze
0,7,Continuous,-3,1,1
S-ROOF,251,Continuous,15,1,1
E-SLD,7,Continuous,30,1,1
S-SITE,252,Dash,20,1,1
E-DETL,7,Continuous,25,1,1
S-CARPORT,7,Continuous,25,1,1
E-EQUIP,7,Continuous,-3,1,0
A-BLDG,7,Continuous,30,1,1
E-CONDUIT-AC,7,Continuous,25,1,1
A-ROOF-EQUIP,252,Continuous,-3,1,0
G-ANNO-REVS,7,Continuous,25,1,1
G-ANNO-DIMS,7,Continuous,15,1,1
PV-MODS,251,Continuous,30,1,1
EV-EQUIP,7,Continuous,25,1,1
G-ANNO-STAMP,7,Continuous,25,1,1
E-CLEARANCE,251,HIDDEN,25,1,1
PV-RACK,7,Continuous,25,1,1
A-SETB,1,HIDDEN,20,1,1
G-TEXT,7,Continuous,25,1,1
A-PROP,7,PHANTOM2,20,1,0
Defpoints,5,Continuous,9,0,0
S-PAD,251,Continuous,15,1,0
E-STRINGS,7,HIDDEN,53,1,0
S-DETL,251,Continuous,15,1,0
G-ANNO-TEXT,7,Continuous,15,1,0
G-HATCH,7,Continuous,-3,1,0
G-ARRAY-NUMS,253,Continuous,-3,1,1
G-ANNO-TTLB,7,Continuous,18,1,0
G-VPORT,7,Continuous,-3,1,0
G-BKGD,7,Continuous,-3,1,0
E-SLD-EX,252,Continuous,-3,1,1
G-LABELS,7,Continuous,-3,1,1
S-STREET,7,Continuous,20,1,1
G-REFS,7,Continuous,-3,1,0
A-FIRE,7,Continuous,-3,1,0
G-ANNO-LGND,7,Continuous,-3,1,0
G-LOGO,7,Continuous,-3,1,0
E-CONDUIT-DC,7,Continuous,25,1,1
S-BLDG,7,Continuous,-3,1,0
