#source: ampacity = NEC Table 310.16, 75C and 90C columns (copper + aluminum),,,
#source: r_ohm_kft = NEC Chapter 9 Table 8, DC resistance, uncoated copper / aluminum, ohm/1000ft,,,
#source: area_in2 = NEC Chapter 9 Table 5, approximate area per insulation, sq in (CU THHN/THWN-2, AL XHHW-2),,,
#note: material = CU or AL. A feeder that fits in ONE capped-copper run is sized in CU; a feeder that
#note: needs MULTIPLE parallel runs defaults to AL (see *ofeed-parallel-material* / *ofeed-max-cond*).
#note: Each material's rows MUST stay in ASCENDING ampacity order -- the sizer takes the first that carries the load.
#note: VERIFY the aluminum r_ohm_kft / area_in2 against your NEC copy before relying on VD / fill.
#cols: size,material,insulation,amp75,amp90,r_ohm_kft,area_in2
size,material,insulation,amp75,amp90,r_ohm_kft,area_in2
14 AWG,CU,THHN/THWN-2,20,25,3.07,0.0097
12 AWG,CU,THHN/THWN-2,25,30,1.93,0.0133
10 AWG,CU,THHN/THWN-2,35,40,1.21,0.0211
8 AWG,CU,THHN/THWN-2,50,55,0.764,0.0366
6 AWG,CU,THHN/THWN-2,65,75,0.491,0.0507
4 AWG,CU,THHN/THWN-2,85,95,0.308,0.0824
3 AWG,CU,THHN/THWN-2,100,110,0.245,0.0973
2 AWG,CU,THHN/THWN-2,115,130,0.194,0.1158
1 AWG,CU,THHN/THWN-2,130,145,0.154,0.1562
1/0,CU,THHN/THWN-2,150,170,0.122,0.1855
2/0,CU,THHN/THWN-2,175,195,0.0967,0.2223
3/0,CU,THHN/THWN-2,200,225,0.0766,0.2679
4/0,CU,THHN/THWN-2,230,260,0.0608,0.3237
250KCMIL,CU,THHN/THWN-2,255,290,0.0515,0.3970
300KCMIL,CU,THHN/THWN-2,285,320,0.0429,0.4608
350KCMIL,CU,THHN/THWN-2,310,350,0.0367,0.5242
400KCMIL,CU,THHN/THWN-2,335,380,0.0321,0.5863
500KCMIL,CU,THHN/THWN-2,380,430,0.0258,0.7073
600KCMIL,CU,THHN/THWN-2,420,475,0.0214,0.8676
700KCMIL,CU,THHN/THWN-2,460,520,0.0184,0.9887
750KCMIL,CU,THHN/THWN-2,475,535,0.0171,1.0496
800KCMIL,CU,THHN/THWN-2,490,555,0.0161,1.1085
900KCMIL,CU,THHN/THWN-2,520,585,0.0143,1.2311
1000KCMIL,CU,THHN/THWN-2,545,615,0.0129,1.3478
6 AWG,AL,XHHW-2,50,55,0.808,0.0590
4 AWG,AL,XHHW-2,65,75,0.508,0.0814
3 AWG,AL,XHHW-2,75,85,0.403,0.0962
2 AWG,AL,XHHW-2,90,100,0.319,0.1146
1 AWG,AL,XHHW-2,100,115,0.253,0.1534
1/0,AL,XHHW-2,120,135,0.201,0.1825
2/0,AL,XHHW-2,135,150,0.159,0.2190
3/0,AL,XHHW-2,155,175,0.126,0.2642
4/0,AL,XHHW-2,180,205,0.100,0.3197
250KCMIL,AL,XHHW-2,205,230,0.0847,0.3904
300KCMIL,AL,XHHW-2,230,260,0.0707,0.4536
350KCMIL,AL,XHHW-2,250,280,0.0605,0.5166
400KCMIL,AL,XHHW-2,270,305,0.0529,0.5782
500KCMIL,AL,XHHW-2,310,350,0.0424,0.6984
600KCMIL,AL,XHHW-2,340,385,0.0353,0.8709
700KCMIL,AL,XHHW-2,375,425,0.0303,0.9923
750KCMIL,AL,XHHW-2,385,435,0.0282,1.0532
800KCMIL,AL,XHHW-2,395,445,0.0265,1.1122
900KCMIL,AL,XHHW-2,425,480,0.0235,1.2351
1000KCMIL,AL,XHHW-2,445,500,0.0212,1.3519
